schoolName,Physical address,Postal address,Email,Phone Number,Principal,Website
Alpurrurulam School,"N/A, Alpurrurulam (Lake Nash), NT","PMB 46, Mt Isa, 4825, QLD",gavin.khan@education.nt.gov.au,(07) 4748 4887,,
Adelaide River School,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@education.nt.gov.au,(08) 8976 7034,,
Acacia Hill School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@education.nt.gov.au,(08) 895 52222,,
Alice Springs Steiner School,"Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT","PO Box 2736, Alice Springs, 0871, NT",accounts@alicesteiner.nt.edu.au,(08) 8952 3897,,
Alice Springs Language Centre,"Milner Road, Alice SPrings, 0870, NT","PO Box 9045, Alice Springs, 0871, NT",admin.aslc@education.nt.gov.au,(08) 895 52366,,
Alawa Pre School,"27 Pett St, Alawa, NT",", , , ",,(08) 899 77666,,
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",alawa.school@education.nt.gov.au,(08) 899 77666,,
Alcoota School,"N/A, Engawala (Alcoota Stn), NT","PMB 129, via Alice Springs, 0872, NT",janet.purje@education.nt.gov.au,(08) 8956 9977,,
Alekarenge School,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT",admin.alekacec@education.nt.gov.au,(08) 8964 1957,,
Alice Springs School Of The Air,"80 Head St, Alice Springs, 0870, NT","PO Box 1220, Alice Springs, 0871, NT",assoa@assoa.nt.edu.au,(08) 8951 6800,,
Braitling Pre School,"80 Head St, Alice Springs, NT",", , , ",,(08) 8985 8511,,
Bradshaw Primary School,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT",bradshaw.school@education.nt.gov.au,(08) 895 52100,,
Bradshaw Pre School,"23 Adamson Ave, Alice Springs, NT",", , , ",,(08) 895 52100,,
Borroloola School,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT",admin.borrosch@education.nt.gov.au,(08) 896 51800,,
Borroloola Pre School,"321 Robinson Road, Borroloola, NT",", , , ",,(08) 89 758780,,
Bonya School,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT",juliet.mokoto@education.nt.gov.au,(08) 8956 6352,,
Zuccoli Primary School,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@education.nt.gov.au,(08) 792 30222,,
Yulara School,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",yulara.school@education.nt.gov.au,(08) 8956 2014,,
Yuendumu School,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",admin.yuendumu@education.nt.gov.au,(08) 8956 4011,,
Yuendumu Pre School,"Conniston Road, Yuendumu, NT",", , , ",,(08) 8956 4011,,
Yirrkala School,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net,(08) 898 71988,,
Yirrkala Pre School,"Rankine Road, Yirrkala, NT",", , , ",,(08) 898 71988,,
Yipirinya School,"Lovegrove Drive, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",reception.yipirinya.ntschools.net,(08) 8952 5633,,
Wurankuwu Homeland Learning Centre,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT",tba,(08) 8978 3986,,
Xavier Catholic College,"Wurrumiyanga, Bathurst Island, NT","PMB 139,, via Winnellie, 0822, NT",admin.xcec@nt.catholic.edu.au,(08) 8978 3970,,
Yirara College,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au,(08) 8950 5644,,
Yarralin School,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",zoe.richardson@education.nt.gov.au,(08) 8975 0809,,
Wulagi Primary School,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@education.nt.gov.au,(08) 898 37800,,
Wulagi Pre School,"24 Brolga St, Wulagi, NT",", , , ",,(08) 898 37818,,
Wugularr School,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",admin.wugulsch@education.nt.gov.au,(08) 8975 4529,,
Woolianna School,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",woolianna.school@education.nt.gov.au,(08) 8978 2984,,
Willowra School,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",willowra.school@education.nt.gov.au,(08) 8956 8408,,
Woodroffe Primary School,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@education.nt.gov.au,(08) 898 37600,,
Woolaning School,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@education.nt.gov.au,(08) 8978 2334,,
Woodroffe Pre School,"55 Woodroffe Ave, Woodroffe, NT",", , , ",,(08) 8983 7611,,
Watiyawanu School,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",l.kenny@education.nt.gov.au,(08) 8956 8555,,
Watarrka School,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",tba,(08) 8956 7758,,
Warruwi School,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",ken.millar@education.nt.gov.au,(08) 8979 0222,,
Wanguri Primary School,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@education.nt.gov.au,(08) 8927 1655,,
Wanguri Pre School,"46 Gsell St, Wanguri, NT",", , , ",,(08) 8927 1655,,
Walungurru School,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",walungurru.school@education.nt.gov.au,(08)  8964 6056,,
Wallace Rockhole School,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@education.nt.gov.au,(08) 8956 7330,,
Wagaman Primary School,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@education.nt.gov.au,(08) 8922 6011,,
Urapunga School,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",lawry.mahon@education.nt.gov.au,(08) 8975 4645,,
Wagaman Pre School,"35 Wagaman Tce, Wagaman, NT",", , , ",,(08) 8922 6011,,
Top End School of Flexible Learning,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",malakrc.det@education.nt.gov.au,(08) 899 77199,,
Tivendale School,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",matt.watson@education.nt.gov.au,(08) 899 95910,,
Tiwi College,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",admin.tiwicollege@ntschools.net,08 89709024,,
Titjikala School,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",nanci.morrison@education.nt.gov.au,(08) 8956 0927,,
Tipperary Station School,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",,(08) 8978 2765,,
Timber Creek School,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",timbercreek.admin@education.nt.gov.au,(08) 8975 0714,,
The Essington School,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT",administration@essington.nt.edu.au,(08) 8985 0100,,
Ti Tree School,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",mark.webster@education.nt.gov.au,(08) 8956 9743,,
Tennant Creek Primary School,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@education.nt.gov.au,(08) 896 32424,,
Tennant Creek Pre School,"31 Paterson St, Tennant Creek, NT",", , , ",,(08) 8962 2110,,
Tennant Creek High School,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@education.nt.gov.au,(08) 8962 2102,,
Taminmin College,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@education.nt.gov.au,(08) 898 37000,,
Stuart Park Primary School,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@education.nt.gov.au,(08) 899 77333,,
St Philip's College,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au,(08) 8950 4511,,
Stirling School,"N/A, Wilora (Stirling Station) 0872, NT","c/- Ti Tree Post Office, Ti Tree, 0872, NT",tony.tree@education.nt.gov.au,(08) 8956 9759,,
St Paul's Catholic Primary School,"Cnr Trower Road and Francis Street, Nightcliff, NT","PO Box 40344, Casuarina, 0811, NT",admin.stpauls@nt.catholic.edu.au,(08) 8985 1911,,
St Mary's Catholic Primary School,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au,(08) 8981 9796,,
St Joseph's Catholic Flexible Learning Centre,"5 Bloomfield Street, Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",sjcflc@ereafsn.edu.au,89293900,,
St Joseph's Catholic College,"Cnr Maluka Road & Chambers Drive, Katherine 0850, NT","PO Box 535, Katherine, 0850, NT",admin.stjosephs@nt.catholic.edu.au,(08) 89723555,,
St John's Catholic College,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",admin.stjohns@nt.catholic.edu.au,(08) 8982 2222,,
St Francis of Assisi Catholic Primary School,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, , NT",admin.sfas@nt.catholic.edu.au,(08) 8988 1212,,
St Francis Xavier Catholic School,"7333 Daly River Rd, Nauiyu, NT","CMB 28, Daly River, 0822, NT",admin.dalyriver@nt.catholic.edu.au,(08) 8978 2427,,
Shepherdson Pre School,"Wakirana St, Galiwinku, NT",", , , ",,(08) 8987 9044,,
Shepherdson College,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@education.nt.gov.au,(08) 8987 9044,,
SEDA College NT,"5/90 Ross Smith Ave, Fannie Bay, 0820, NT","5/90 Ross Smith Ave, Fannie Bay, 0820, NT",info@sedacollege.nt.edu.au,1300 337 332,,
School of Sport Education NT,"1 Nemarluk Drive, Ludmilla, NT, 0820, NT","PO Box 42896, Casuarina, 0811, NT",admin.ssnt@education.nt.gov.au,(08) 899 95700,,
Sattler Christian College,"15 Sattler Cres, Bees Creek, NT","PO Box 1138,, Coolalinga, 0839, NT",admin.scc@ntschools.net,7922 1500,,
Sanderson Middle School,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, KARAMA, 0813, NT",sanderson.middle@education.nt.gov.au,(08) 7923 0500,,
Sadadeen Primary School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",sadadeen.primary@education.nt.gov.au,(08) 895 52299,,
Sacred Heart Catholic Primary School,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",admin.shps@nt.catholic.edu.au,(08) 8924 8700,,
Royal Darwin Hospital School,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",tania.nicholls@education.nt.gov.au,(08) 8922 8736,,
Rosebery Primary School,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@education.nt.gov.au,(08) 792 30100,,
Ross Park Primary School,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net,(08) 895 52000,,
Rona Glynn Pre School,"2 Mckay St, Alice Springs, NT",", , , ",,(08) 895 21792,,
Robinson River School,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",jenine.williams@education.nt.gov.au,(08) 8975 9956,,
Rockhampton Downs School,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",leanne.forbes@education.nt.gov.au,(08) 8964 4675,,
Pularumpi School,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",kane.griffin@education.nt.gov.au,(08) 8978 3961,,
Ramingining School,"133Lewangu Drive, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0822, NT",deanne.kathagen@education.nt.gov.au,(08) 8979 7924,,
Ramingining Pre School,"N/A, Ramingining, NT",", , , ",,(08) 8979 7924,,
Pigeon Hole School,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",anne.pollock@education.nt.gov.au,(08) 8975 0812,,
Pine Creek School,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",jo.moon@education.nt.gov.au,(08) 8976 1228,,
Peppimenarti School,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",eric.barrows@education.nt.gov.au,(08) 8978 2455,,
Parap Primary School,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",parapps.office@education.nt.gov.au,(08) 898 22922,,
Stuart Park Pre School,"8 Nudl St, Stuart Park, NT",", , , ",,(08) 899 77322,,
Parap Pre School,"61 Ross Smith Ave, Parap, NT",", , , ",,(08) 8981 5146,,
Palmerston College,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Palmerston.college@education.nt.gov.au,(08) 899 77999,,
Papunya School,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",papunya.admin@education.nt.gov.au,(08) 8956 8515,,
Owen Springs Education Centre,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, Alice Springs, 0871, NT",joel.hohn@education.nt.gov.au,(08) 8958 5088 / (08) 8958 5089,,
Palmerston Christian College,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",admin.pcc@ntschools.net,(08) 7922 5600,,
Our Lady of the Sacred Heart Thamarrurr Catholic College,"Wadeye, Port Keats, NT","Wadeye, Port Keats, via Winnellie, 0822, NT",admin.olshtcs@nt.catholic.edu.au,(08) 8978 2477,,
Our Lady of the Sacred Heart Catholic College - Sadadeen Campus,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,
